car cp
;bare;SVR RBF C1;SVR RBF C100;GP [1,2];GP [1e-1,1];GP [1e-3, 1]
simple;1.000;1.000;0.037;0.037;0.037;0.037
simple_scaled_1_5;1.000;0.000;1.000;1.000;1.000;0.996
simple_scaled_1_20;1.000;0.000;0.986;0.986;0.986;1.000
simple_scaled_1_100;1.000;0.000;1.000;1.000;1.000;1.000
asymetric_50;1.000;1.000;0.024;0.024;0.024;0.024
asymetric_200;1.000;1.000;0.000;0.000;0.000;0.000
asymetric_1000;1.000;1.000;0.022;0.022;0.022;0.022
random;1.000;1.000;0.015;0.015;0.015;0.015
random_scaled_1_5;0.987;0.000;0.987;0.987;0.987;1.000
random_scaled_1_20;1.000;0.000;0.988;0.988;0.988;1.000
random_scaled_1_100;0.996;0.000;0.996;0.996;0.996;1.000
random_gain;1.000;1.000;0.191;0.191;0.191;0.191
random_gain_scaled_1_5;1.000;1.000;0.000;0.000;0.000;0.000
random_gain_scaled_1_20;1.000;1.000;0.000;0.000;0.000;0.000
random_gain_scaled_1_100;1.000;1.000;0.041;0.041;0.041;0.041
asymetric_50_abstain;1.000;0.000;0.408;0.408;0.408;1.000
asymetric_200_abstain;1.000;0.287;0.000;0.000;0.000;1.000
asymetric_1000_abstain;0.229;1.000;0.000;0.000;0.000;0.229
car rf
;bare;SVR RBF C1;SVR RBF C100;GP [1,2];GP [1e-1,1];GP [1e-3, 1]
simple;1.000;1.000;1.000;1.000;0.994;1.000
simple_scaled_1_5;0.988;0.852;0.975;0.963;0.975;0.981
simple_scaled_1_20;0.952;0.824;0.952;0.945;0.927;0.952
simple_scaled_1_100;0.955;0.932;0.932;0.940;0.950;0.950
asymetric_50;0.999;0.999;0.999;0.999;1.000;1.000
asymetric_200;0.998;0.864;0.971;1.000;0.997;0.997
asymetric_1000;0.993;0.843;0.981;0.993;0.990;0.990
random;0.995;1.000;1.000;1.000;0.995;1.000
random_scaled_1_5;0.970;0.994;0.958;1.000;0.970;0.970
random_scaled_1_20;0.924;0.812;0.929;0.924;0.817;0.912
random_scaled_1_100;0.860;0.878;0.878;0.878;0.835;0.860
random_gain;0.990;1.000;1.000;1.000;1.000;0.993
random_gain_scaled_1_5;0.995;0.995;0.995;0.995;0.995;0.995
random_gain_scaled_1_20;0.995;0.993;0.993;1.000;0.995;0.988
random_gain_scaled_1_100;0.982;0.990;1.000;1.000;0.982;0.982
asymetric_50_abstain;0.986;0.024;0.020;0.020;0.020;0.020
asymetric_200_abstain;0.003;0.992;0.992;0.992;0.992;0.992
asymetric_1000_abstain;0.007;0.991;0.999;0.999;0.995;0.995
bank cp
;bare;SVR RBF C1;SVR RBF C100;GP [1,2];GP [1e-1,1];GP [1e-3, 1]
simple;0.996;0.999;0.999;0.996;0.996;0.996
simple_scaled_1_5;0.990;0.961;0.927;0.248;0.248;0.248
simple_scaled_1_20;0.997;0.987;0.987;0.000;0.000;0.000
simple_scaled_1_100;0.999;0.995;0.995;0.000;0.000;0.000
asymetric_50;0.997;0.999;0.999;0.996;0.996;0.996
asymetric_200;0.992;0.904;0.902;0.898;0.898;0.898
asymetric_1000;0.987;0.915;0.911;0.875;0.875;0.875
random;1.000;0.995;0.995;1.000;1.000;1.000
random_scaled_1_5;0.993;0.920;0.911;0.862;0.862;0.862
random_scaled_1_20;0.946;0.965;0.965;0.000;0.000;0.000
random_scaled_1_100;0.999;0.995;0.995;0.000;0.000;0.000
random_gain;1.000;0.995;0.995;1.000;1.000;1.000
random_gain_scaled_1_5;1.000;0.991;0.991;1.000;1.000;1.000
random_gain_scaled_1_20;1.000;0.991;0.991;1.000;1.000;1.000
random_gain_scaled_1_100;1.000;0.991;0.991;1.000;1.000;1.000
asymetric_50_abstain;1.000;0.001;0.001;0.000;0.000;0.000
asymetric_200_abstain;1.000;0.001;0.001;0.000;0.000;0.000
asymetric_1000_abstain;1.000;0.002;0.002;0.000;0.000;0.000
bank rf
;bare;SVR RBF C1;SVR RBF C100;GP [1,2];GP [1e-1,1];GP [1e-3, 1]
simple;1.000;0.891;0.950;0.996;1.000;1.000
simple_scaled_1_5;0.992;0.969;0.984;0.932;0.992;0.985
simple_scaled_1_20;1.000;0.997;0.997;0.998;0.998;1.000
simple_scaled_1_100;0.997;1.000;1.000;1.000;0.997;0.997
