0.000000, 0.000000
0.000000, 0.000035
0.010000, 0.464696
0.020000, 0.649006
0.030000, 0.745874
0.040000, 0.804102
0.050000, 0.845321
0.060000, 0.874246
0.070000, 0.896773
0.080000, 0.916097
0.090000, 0.931005
0.100000, 0.941314
0.110000, 0.953962
0.120000, 0.962878
0.130000, 0.969630
0.140000, 0.975808
0.150000, 0.982042
0.160000, 0.987300
0.170000, 0.992137
0.180000, 0.995507
0.190000, 0.998393
0.200000, 0.998736
0.210000, 0.999728
0.220000, 0.998212
0.230000, 0.999175
0.240000, 1.000000
0.250000, 0.999283
0.260000, 0.999551
0.270000, 0.999031
0.280000, 0.996977
0.290000, 0.995239
0.300000, 0.994182
0.310000, 0.990466
0.320000, 0.987568
0.330000, 0.983581
0.340000, 0.979662
0.350000, 0.976533
0.360000, 0.971835
0.370000, 0.967872
0.380000, 0.963678
0.390000, 0.959479
0.400000, 0.952659
0.410000, 0.947508
0.420000, 0.941024
0.430000, 0.933709
0.440000, 0.926277
0.450000, 0.917985
0.460000, 0.911563
0.470000, 0.904856
0.480000, 0.896553
0.490000, 0.888085
0.500000, 0.870283
